Employee ID,First Name,Last Name,Email,Department,Salary
1001,John,Doe,john.doe@email.com,HR,50000
1002,Jane,Smith,jane.smith@email.com,Marketing,55000
1003,Robert,Johnson,robert.johnson@email.com,IT,60000
1004,Lisa,Williams,lisa.williams@email.com,Finance,52000
1005,Michael,Brown,michael.brown@email.com,Engineering,65000
1006,Susan,Anderson,susan.anderson@email.com,HR,48000
1007,David,Lee,david.lee@email.com,Marketing,60000
1008,Sarah,Miller,sarah.miller@email.com,IT,62000
1009,Thomas,Wilson,thomas.wilson@email.com,Finance,54000
1010,Emily,Clark,emily.clark@email.com,Engineering,67000
1011,William,Hall,william.hall@email.com,HR,49000
1012,Laura,Turner,laura.turner@email.com,Marketing,56000
1013,Mark,Wright,mark.wright@email.com,IT,63000
1014,Anna,Carter,anna.carter@email.com,Finance,53000
1015,Matthew,Adams,matthew.adams@email.com,Engineering,68000
1016,Olivia,Hill,olivia.hill@email.com,HR,51000
1017,Christopher,Moore,christopher.moore@email.com,Marketing,57000
1018,Elizabeth,Parker,elizabeth.parker@email.com,IT,64000
1019,James,Robinson,james.robinson@email.com,Finance,55000
1020,Grace,Evans,grace.evans@email.com,Engineering,69000
